# step, gen_loss, dis_loss
543, -1.429371E+01, -2.859764E+01
544, -1.851726E+01, -2.849819E+01
545, -1.612292E+01, -2.856592E+01
546, -2.411316E+01, -2.827570E+01
547, -2.094172E+01, -2.851532E+01
548, -2.194905E+01, -2.850351E+01
549, -2.229890E+01, -2.848521E+01
550, -1.926429E+01, -2.846532E+01
551, -1.861686E+01, -2.842798E+01
552, -1.724085E+01, -2.842823E+01
553, -1.806072E+01, -2.841084E+01
554, -1.739859E+01, -2.836977E+01
555, -1.416359E+01, -2.836510E+01
556, -2.313872E+01, -2.834120E+01
557, -1.553005E+01, -2.829239E+01
558, -1.777531E+01, -2.830880E+01
559, -1.808545E+01, -2.827690E+01
560, -1.794412E+01, -2.814750E+01
561, -1.916894E+01, -2.823804E+01
562, -2.052855E+01, -2.811394E+01
563, -1.706171E+01, -2.818752E+01
564, -1.601794E+01, -2.819624E+01
565, -1.808073E+01, -2.791883E+01
566, -2.362012E+01, -2.815601E+01
567, -2.058979E+01, -2.813680E+01
568, -2.310883E+01, -2.798210E+01
569, -1.852240E+01, -2.809349E+01
570, -1.672522E+01, -2.803950E+01
571, -2.135685E+01, -2.800064E+01
572, -2.259974E+01, -2.802236E+01
573, -1.217328E+01, -2.797353E+01
574, -2.152134E+01, -2.798229E+01
575, -1.897627E+01, -2.799972E+01
576, -2.010960E+01, -2.792178E+01
577, -2.151593E+01, -2.791399E+01
578, -2.102624E+01, -2.793731E+01
579, -2.211042E+01, -2.778538E+01
580, -2.003943E+01, -2.789553E+01
581, -1.929310E+01, -2.785458E+01
582, -1.902705E+01, -2.784920E+01
583, -1.808918E+01, -2.784126E+01
584, -1.418546E+01, -2.773058E+01
585, -2.205727E+01, -2.777830E+01
586, -2.231459E+01, -2.772291E+01
587, -2.120912E+01, -2.777903E+01
588, -2.227319E+01, -2.760102E+01
589, -2.466765E+01, -2.772242E+01
590, -2.270102E+01, -2.770357E+01
591, -2.117123E+01, -2.769360E+01
592, -2.100529E+01, -2.769720E+01
593, -2.543147E+01, -2.739232E+01
594, -1.947792E+01, -2.765106E+01
595, -2.192077E+01, -2.761798E+01
596, -2.169913E+01, -2.760840E+01
597, -1.382589E+01, -2.747982E+01
598, -2.889268E+01, -2.755199E+01
599, -2.256349E+01, -2.754524E+01
600, -2.369963E+01, -2.755790E+01
601, -2.445404E+01, -2.740974E+01
602, -1.981341E+01, -2.751389E+01
603, -2.310635E+01, -2.748144E+01
604, -2.992654E+01, -2.739741E+01
605, -1.940730E+01, -2.744408E+01
606, -2.591204E+01, -2.741804E+01
607, -2.400124E+01, -2.744876E+01
608, -2.139926E+01, -2.722272E+01
609, -2.445137E+01, -2.740335E+01
610, -2.471602E+01, -2.733090E+01
611, -2.315141E+01, -2.738012E+01
612, -2.185295E+01, -2.735789E+01
613, -1.826233E+01, -2.728680E+01
614, -2.004104E+01, -2.733533E+01
615, -1.977370E+01, -2.732305E+01
616, -2.227149E+01, -2.722491E+01
617, -2.509026E+01, -2.722461E+01
618, -1.973104E+01, -2.727223E+01
619, -1.765602E+01, -2.725478E+01
620, -2.059982E+01, -2.704074E+01
621, -3.141695E+01, -2.720034E+01
622, -2.738264E+01, -2.716808E+01
623, -2.661103E+01, -2.719533E+01
624, -2.591537E+01, -2.708182E+01
625, -2.440359E+01, -2.717792E+01
626, -2.247773E+01, -2.713381E+01
627, -2.185958E+01, -2.708549E+01
628, -1.987230E+01, -2.711208E+01
629, -1.205679E+01, -2.707402E+01
630, -1.873056E+01, -2.706752E+01
631, -2.476987E+01, -2.695376E+01
632, -1.901072E+01, -2.707078E+01
633, -2.083761E+01, -2.698108E+01
634, -1.817541E+01, -2.701616E+01
635, -2.276566E+01, -2.702217E+01
636, -2.387640E+01, -2.693244E+01
637, -2.059997E+01, -2.697545E+01
638, -2.101461E+01, -2.698054E+01
639, -2.031415E+01, -2.695054E+01
640, -1.633471E+01, -2.695413E+01
641, -3.373133E+01, -2.692623E+01
642, -3.389020E+01, -2.684874E+01
643, -2.947028E+01, -2.688567E+01
644, -3.052818E+01, -2.685176E+01
645, -2.750867E+01, -2.687338E+01
646, -2.780408E+01, -2.686041E+01
647, -2.812362E+01, -2.672829E+01
648, -2.345681E+01, -2.683344E+01
649, -2.500607E+01, -2.675264E+01
650, -2.448686E+01, -2.679203E+01
651, -2.396481E+01, -2.679142E+01
652, -3.118064E+01, -2.674347E+01
653, -2.480518E+01, -2.676973E+01
654, -2.473171E+01, -2.674126E+01
655, -2.271906E+01, -2.670876E+01
656, -1.866495E+01, -2.670829E+01
657, -2.106163E+01, -2.662640E+01
658, -1.940104E+01, -2.670073E+01
659, -1.860521E+01, -2.666487E+01
660, -2.839763E+01, -2.665891E+01
661, -3.468443E+01, -2.660459E+01
662, -2.541180E+01, -2.663290E+01
663, -2.916335E+01, -2.654556E+01
664, -2.233249E+01, -2.658359E+01
665, -2.263297E+01, -2.660828E+01
666, -2.169077E+01, -2.655936E+01
667, -2.007720E+01, -2.658109E+01
668, -2.868420E+01, -2.654648E+01
669, -1.928410E+01, -2.633801E+01
670, -2.094440E+01, -2.653193E+01
671, -2.223770E+01, -2.651652E+01
